Year,Event,Gold,Gold_Nation,Silver,Silver_Nation,Bronze,Bronze_Nation
"1928","Athletics Men 10000 metres","Paavo Nurmi","Finland","Ville Ritola","Finland","Edvin Wide","Sweden"
"1928","Athletics Men 110 metres hurdles","Sid Atkinson","South Africa","Steve Anderson","United States","John Collier","United States"
"1928","Athletics Men 1500 metres","Harri Larva","Finland","Jules Ladoum_gue","France","Eino Purje","Finland"
"1928","Athletics Men 200 metres","Percy Williams","Canada","Walter Rangeley","Great Britain","Helmut K_rnig","Germany"
"1928","Athletics Men 3000 metres steeplechase","Toivo Loukola","Finland","Paavo Nurmi","Finland","Ove Andersen","Finland"
"1928","Athletics Men 4 x 100 metres relay","United States","United States","Germany","Germany","Great Britain","Great Britain"
"1928","Athletics Men 4 x 400 metres relay","United States","United States","Germany","Germany","Canada","Canada"
"1928","Athletics Men 400 metres","Ray Barbuti","United States","Jimmy Ball","Canada","Jochen B_chner","Germany"
"1928","Athletics Men 400 metres hurdles","David, Lord Burghley","Great Britain","Frank Cuhel","United States","Morgan Taylor","United States"
"1928","Athletics Men 5000 metres","Ville Ritola","Finland","Paavo Nurmi","Finland","Edvin Wide","Sweden"
"1928","Athletics Men 800 metres","Douglas Lowe","Great Britain","Erik Byl_hn","Sweden","Hermann Engelhard","Germany"
"1928","Athletics Men decathlon","Paavo Yrj_l_","Finland","Akilles J_rvinen","Finland","Ken Doherty","United States"
"1928","Athletics Men discus throw","Bud Houser","United States","Antero Kivi","Finland","Jim Corson","United States"
"1928","Athletics Men hammer throw","Pat O'Callaghan","Ireland","Ossian Ski_ld","Sweden","Ed Black","United States"
"1928","Athletics Men high jump","Bob King","United States","Ben Hedges","United States","Claude M_nard","France"
"1928","Athletics Men javelin throw","Erik Lundqvist","Sweden","B_la Szepes","Hungary","Olav Sunde","Norway"
"1928","Athletics Men long jump","Ed Hamm","United States","Sylvio Cator","Haiti","Al Bates","United States"
"1928","Athletics Men marathon","Boughera El Ouafi","France","Manuel Plaza","Chile","Martti Marttelin","Finland"
"1928","Athletics Men pole vault","Sabin Carr","United States","Bill Droegemueller","United States","Charles McGinnis","United States"
"1928","Athletics Men shot put","Johnny Kuck","United States","Herman Brix","United States","Emil Hirschfeld","Germany"
"1928","Athletics Men triple jump","Mikio Oda","Japan","Lee Casey","United States","Ville Tuulos","Finland"
"1928","Athletics Women 100 metres","Betty Robinson","United States","Bobby Rosenfeld","Canada","Ethel Smith","Canada"
"1928","Athletics Women 4 x 100 metres relay","Canada","Canada","United States","United States","Germany","Germany"
"1928","Athletics Women 800 metres","Lina Radke-Batschauer","Germany","Kinue Hitomi","Japan","Inga Gentzel","Sweden"
"1928","Athletics Women discus throw","Halina Konopacka","Poland","Lillian Copeland","United States","Ruth Svedberg","Sweden"
"1928","Athletics Women high jump","Ethel Catherwood","Canada","Lien Gisolf","Netherlands","Mildred Wiley","United States"
"1928","Bobsleigh Men four five","United States","United States","United States","United States","Germany","Germany"
"1928","Boxing Men bantamweight","Vittorio Tamagnini","Italy","John Daley","United States","Harry Isaacs","South Africa"
"1928","Boxing Men featherweight","Bep van Klaveren","Netherlands","V_ctor Peralta","Argentina","Harry Devine","United States"
"1928","Boxing Men flyweight","Tony Kocsis","Hungary","Armand Apell","France","Carlo Cavagnoli","Italy"
"1928","Boxing Men heavyweight","Arturo Rodr_guez","Argentina","Nils Ramm","Sweden","Jakob Michaelsen","Denmark"
"1928","Boxing Men light heavyweight","V_ctor Avenda_o","Argentina","Ernst Pistulla","Germany","Karel Miljon","Netherlands"
"1928","Boxing Men lightweight","Carlo Orlandi","Italy","Steve Halaiko","United States","Gunnar Berggren","Sweden"
"1928","Boxing Men middleweight","Piero Toscani","Italy","Jan He_m_nek","Czechoslovakia","Leonard Steyaert","Belgium"
"1928","Boxing Men welterweight","Ted Morgan","New Zealand","Ra_l Landini","Argentina","Ray Smillie","Canada"
"1928","Cross Country Skiing Men 18 kilometres","Johan Gr_ttumsbraaten","Norway","Ole Hegge","Norway","Reidar _deg_rd","Norway"
"1928","Cross Country Skiing Men 50 kilometres","Per Erik Hedlund","Sweden","Gustaf Jonsson","Sweden","Volger Andersson","Sweden"
"1928","Cycling Men 1000 metres time trial","Willy Falck Hansen","Denmark","Gerard Bosch van Drakestein","Netherlands","Dunc Gray","Australia"
"1928","Cycling Men road race individual","Henry Hansen","Denmark","Frank Southall","Great Britain","G_sta Carlsson","Sweden"
"1928","Cycling Men road race team","Denmark","Denmark","Great Britain","Great Britain","Sweden","Sweden"
"1928","Cycling Men sprint","Roger Beaufrand","France","Antoine Mazairac","Netherlands","Willy Falck Hansen","Denmark"
"1928","Cycling Men tandem sprint 2000 metres","Netherlands","Netherlands","Great Britain","Great Britain","Germany","Germany"
"1928","Cycling Men team pursuit 4000 metres","Italy","Italy","Netherlands","Netherlands","Great Britain","Great Britain"
"1928","Diving Men platform","Pete Desjardins","United States","Farid Simaika","Egypt","Mickey Galitzen","United States"
"1928","Diving Men springboard","Pete Desjardins","United States","Mickey Galitzen","United States","Farid Simaika","Egypt"
"1928","Diving Women platform","Betty Becker-Pinkston","United States","Georgia Coleman","United States","Lala Sj_qvist","Sweden"
"1928","Diving Women springboard","Helen Meany","United States","Dorothy Poynton-Hill","United States","Georgia Coleman","United States"
"1928","Equestrianism Men dressage individual","Carl von Langen-Parow","Germany","Charles Marion","France","Ragnar Olson","Sweden"
"1928","Equestrianism Men dressage team","Germany","Germany","Sweden","Sweden","Netherlands","Netherlands"
"1928","Equestrianism Men jumping individual","Franti_ek Ventura","Czechoslovakia","Pierre Bertran de Balanda","France","Charles-Gustave Kuhn","Switzerland"
"1928","Equestrianism Men jumping team","Spain","Spain","Poland","Poland","Sweden","Sweden"
"1928","Equestrianism Men three day event individual","Charles Pahud de Mortanges","Netherlands","Gerard de Kruijff","Netherlands","Bruno Neumann","Germany"
"1928","Equestrianism Men three day event team","Netherlands","Netherlands","Norway","Norway","Poland","Poland"
"1928","Fencing Men epee individual","Lucien Gaudin","France","G_o Buchard","France","George Calnan","United States"
"1928","Fencing Men epee team","Italy","Italy","France","France","Portugal","Portugal"
"1928","Fencing Men foil individual","Lucien Gaudin","France","Erwin Casmir","Germany","Giulio Gaudini","Italy"
"1928","Fencing Men foil team","Italy","Italy","France","France","Argentina","Argentina"
"1928","Fencing Men sabre individual","_d_n von Terszty_nszky","Hungary","Attila Petschauer","Hungary","Bino Bini","Italy"
"1928","Fencing Men sabre team","Hungary","Hungary","Italy","Italy","Poland","Poland"
"1928","Fencing Women foil individual","Helene Mayer","Germany","Muriel Freeman","Great Britain","Olga Oelkers","Germany"
"1928","Figure Skating Men singles","Gillis Grafstr_m","Sweden","Willy B_ckl","Austria","Robert Van Zeebroeck","Belgium"
"1928","Figure Skating Mixed pairs","France","France","Austria","Austria","Austria","Austria"
"1928","Figure Skating Women singles","Sonja Henie","Norway","Fritzi Burger","Austria","Beatrix Loughran","United States"
"1928","Football Men football","Uruguay","Uruguay","Argentina","Argentina","Italy","Italy"
"1928","Gymnastics Men horizontal bar","Georges Miez","Switzerland","Romeo Neri","Italy","Eugen Mack","Switzerland"
"1928","Gymnastics Men horse vault","Eugen Mack","Switzerland","Emanuel L_ffler","Czechoslovakia","Stane Derganc","Yugoslavia"
"1928","Gymnastics Men individual all around","Georges Miez","Switzerland","Hermann H_nggi","Switzerland","Leon _tukelj","Yugoslavia"
"1928","Gymnastics Men parallel bars","Ladislav V_cha","Czechoslovakia","Jo_e Primo_i_","Yugoslavia","Hermann H_nggi","Switzerland"
"1928","Gymnastics Men pommelled horse","Hermann H_nggi","Switzerland","Georges Miez","Switzerland","Heikki Savolainen","Finland"
"1928","Gymnastics Men rings","Leon _tukelj","Yugoslavia","Ladislav V_cha","Czechoslovakia","Emanuel L_ffler","Czechoslovakia"
"1928","Gymnastics Men team all around","Switzerland","Switzerland","Czechoslovakia","Czechoslovakia","Yugoslavia","Yugoslavia"
"1928","Gymnastics Women team all around","Netherlands","Netherlands","Italy","Italy","Great Britain","Great Britain"
"1928","Hockey Men hockey","India","India","Netherlands","Netherlands","Germany","Germany"
"1928","Ice Hockey Men ice hockey","Canada","Canada","Sweden","Sweden","Switzerland","Switzerland"
"1928","Modern Pentathlon Men individual","Sven Thofelt","Sweden","Bo Lindman","Sweden","Helmut Kahl","Germany"
"1928","Nordic Combined Men individual","Johan Gr_ttumsbraaten","Norway","Hans Vinjarengen","Norway","John Snersrud","Norway"
"1928","Rowing Men coxed eights","United States","United States","Great Britain","Great Britain","Canada","Canada"
"1928","Rowing Men coxed fours","Italy","Italy","Switzerland","Switzerland","Poland","Poland"
"1928","Rowing Men coxed pairs","Switzerland","Switzerland","France","France","Belgium","Belgium"
"1928","Rowing Men coxless fours","Great Britain","Great Britain","United States","United States","Italy","Italy"
"1928","Rowing Men coxless pairs","Germany","Germany","Great Britain","Great Britain","United States","United States"
"1928","Rowing Men double sculls","United States","United States","Canada","Canada","Austria","Austria"
"1928","Rowing Men single sculls","Bobby Pearce","Australia","Ken Myers","United States","David Collet","Great Britain"
"1928","Sailing Mixed 6 metres","Norway","Norway","Denmark","Denmark","Estonia","Estonia"
"1928","Sailing Mixed 8 metres","France","France","Netherlands","Netherlands","Sweden","Sweden"
"1928","Sailing Mixed one person dinghy","Sven Thorell","Sweden","Henrik Robert","Norway","Bertel Broman","Finland"
"1928","Skeleton Men skeleton","Jennison Heaton","United States","Jack Heaton","United States","David, Earl of Northesk","Great Britain"
"1928","Ski Jumping Men normal hill individual","Alf Andersen","Norway","Sigmund Ruud","Norway","Rudolf Burkert","Czechoslovakia"
"1928","Speed Skating Men 1500 metres","Clas Thunberg","Finland","Bernt Evensen","Norway","Ivar Ballangrud","Norway"
"1928","Speed Skating Men 500 metres","['Bernt Evensen', 'Clas Thunberg']","['Norway', 'Finland']",,,"[""John O'Neil Farrell"", 'Jaakko Friman', 'Roald Larsen']","['United States', 'Finland', 'Norway']"
"1928","Speed Skating Men 5000 metres","Ivar Ballangrud","Norway","Julius Skutnabb","Finland","Bernt Evensen","Norway"
"1928","Swimming Men 100 metres backstroke","George Kojac","United States","Walter Laufer","United States","Paul Wyatt","United States"
"1928","Swimming Men 100 metres freestyle","Johnny Weissmuller","United States","Istv_n B_r_ny","Hungary","Katsuo Takaishi","Japan"
"1928","Swimming Men 1500 metres freestyle","Arne Borg","Sweden","Boy Charlton","Australia","Buster Crabbe","United States"
"1928","Swimming Men 200 metres breaststroke","Yoshiyuki Tsuruta","Japan","Erich Rademacher","Germany","Te_filo Yldefonso","Philippines"
"1928","Swimming Men 4 x 200 metres freestyle relay","United States","United States","Japan","Japan","Canada","Canada"
"1928","Swimming Men 400 metres freestyle","Alberto Zorrilla","Argentina","Boy Charlton","Australia","Arne Borg","Sweden"
"1928","Swimming Women 100 metres backstroke","Zus Philipsen-Braun","Netherlands","Ellen King","Great Britain","Joyce Cooper","Great Britain"
"1928","Swimming Women 100 metres freestyle","Albina Osipowich","United States","Eleanor Garatti-Saville","United States","Joyce Cooper","Great Britain"
"1928","Swimming Women 200 metres breaststroke","Hilde Schrader","Germany","Marie Baron","Netherlands","Lotte M_he","Germany"
"1928","Swimming Women 4 x 100 metres freestyle relay","United States","United States","Great Britain","Great Britain","South Africa","South Africa"
"1928","Swimming Women 400 metres freestyle","Martha Norelius","United States","Zus Philipsen-Braun","Netherlands","Josephine McKim","United States"
"1928","Water Polo Men water polo","Germany","Germany","Hungary","Hungary","France","France"
"1928","Weightlifting Men featherweight","Franz Andrysek","Austria","Pierino Gabetti","Italy","Hans W_lpert","Germany"
"1928","Weightlifting Men heavyweight","Josef Stra_berger","Germany","Arnold Luha__r","Estonia","Jaroslav Skobla","Czechoslovakia"
"1928","Weightlifting Men light heavyweight","Sayed Nosseir","Egypt","Louis Hostin","France","Jan Verheijen","Netherlands"
"1928","Weightlifting Men lightweight","['Hans Haas', 'Kurt Helbig']","['Austria', 'Germany']",,,"Fernand Arnout","France"
"1928","Weightlifting Men middleweight","Roger Fran_ois","France","Carlo Galimberti","Italy","Guus Scheffer","Netherlands"
"1928","Wrestling Men bantamweight freestyle","Kaarlo M_kinen","Finland","Edmond Spapen","Belgium","Jim Trifunov","Canada"
"1928","Wrestling Men bantamweight greco roman","Kurt Leucht","Germany","Jind_ich Maudr","Czechoslovakia","Giovanni Gozzi","Italy"
"1928","Wrestling Men featherweight freestyle","Allie Morrison","United States","Kustaa Pihlajam_ki","Finland","Hans Minder","Switzerland"
"1928","Wrestling Men featherweight greco roman","Voldemar V_li","Estonia","Erik Malmberg","Sweden","Gerolamo Quaglia","Italy"
"1928","Wrestling Men heavyweight freestyle","Johan Richthoff","Sweden","Aukusti Sihvola","Finland","Edmond Dame","France"
"1928","Wrestling Men heavyweight greco roman","Rudolf Svensson","Sweden","Hjalmar Nystr_m","Finland","Georg Gehring","Germany"
"1928","Wrestling Men light heavyweight freestyle","Thure Sj_stedt","Sweden","Arnold B_gli","Switzerland","Henri Lef_bvre","France"
"1928","Wrestling Men light heavyweight greco roman","Ibrahim Moustafa","Egypt","Adolf Rieger","Germany","Onni Pellinen","Finland"
"1928","Wrestling Men lightweight freestyle","Osvald K_pp","Estonia","Charles Pac_me","France","Eino Leino","Finland"
"1928","Wrestling Men lightweight greco roman","Lajos Keresztes","Hungary","Ede Sperling","Germany","Edvard Westerlund","Finland"
"1928","Wrestling Men middleweight freestyle","Ernst Kyburz","Switzerland","Donald Stockton","Canada","Sam Rabin","Great Britain"
"1928","Wrestling Men middleweight greco roman","V_in_ Kokkinen","Finland","L_szl_ Papp","Hungary","Albert Kusnets","Estonia"
"1928","Wrestling Men welterweight freestyle","Arvo Haavisto","Finland","Lloyd Appleton","United States","Maurice Letchford","Canada"
"1924","Alpinism Mixed alpinism","Mixed team","Mixed team",,,,
"1924","Art Competitions Mixed architecture",,,"['Dezs\xc5\x91 Lauber', 'Alfr\xc3\xa9d Haj\xc3\xb3s']","['Hungary', 'Hungary']","Julien M_d_cin","Monaco"
"1924","Art Competitions Mixed literature","G_o-Charles","France","['Josef Petersen', 'Dorothy Margaret Stuart']","['Denmark', 'Great Britain']","['Charles Anthoine Gonnet', 'Oliver St. John Gogarty']","['France', 'Ireland']"
